dataset,standardization_scope,metric,case,delta_APA_minus_AAG
GSE156931,paired_samples_only,ZG_vs_ZF_axis_score,CN062,0.19119829331491317
GSE156931,paired_samples_only,ZG_vs_ZF_axis_score,CN067,1.8736441114680193
GSE156931,paired_samples_only,aldosterone_specificity_score,CH018,-1.1313511491858539
GSE156931,paired_samples_only,aldosterone_specificity_score,CH040,0.9333190219628288
GSE156931,paired_samples_only,aldosterone_specificity_score,CH042,0.4498045501664
GSE156931,paired_samples_only,aldosterone_specificity_score,CH049,-0.15725641646671107
GSE156931,paired_samples_only,aldosterone_specificity_score,CN032,1.2583989976910193
GSE156931,paired_samples_only,aldosterone_specificity_score,CN059,0.10592350019540403
GSE156931,paired_samples_only,aldosterone_specificity_score,CN062,-0.08673637548046098
GSE156931,paired_samples_only,aldosterone_specificity_score,CN067,0.002788687365219422
GSE156931,paired_samples_only,housekeeping_control,CH018,-0.6824483319424255
GSE156931,paired_samples_only,housekeeping_control,CH040,-0.15726452492872312
GSE156931,paired_samples_only,housekeeping_control,CH042,-0.2886990037380861
GSE156931,paired_samples_only,housekeeping_control,CH049,-0.12725525502810808
GSE156931,paired_samples_only,housekeeping_control,CN032,-0.3862367667755041
GSE156931,paired_samples_only,housekeeping_control,CN059,-0.017332804588633288
GSE156931,paired_samples_only,housekeeping_control,CN062,0.4243293336584218
GSE156931,paired_samples_only,housekeeping_control,CN067,0.6189295636121842
GSE156931,all_24_samples_sensitivity,ZG_aldosterone_program,CH018,-1.5899357203187132
GSE156931,all_24_samples_sensitivity,ZG_aldosterone_program,CH040,0.8826821418357389
GSE156931,all_24_samples_sensitivity,ZG_aldosterone_program,CH042,0.504290536988445
GSE156931,all_24_samples_sensitivity,ZG_aldosterone_program,CH049,-0.07826884938450886
GSE156931,all_24_samples_sensitivity,ZG_aldosterone_program,CN032,1.0319941503108203
GSE156931,all_24_samples_sensitivity,ZG_aldosterone_program,CN059,0.098223057840715
GSE156931,all_24_samples_sensitivity,ZG_aldosterone_program,CN062,0.25724279577572867
GSE156931,all_24_samples_sensitivity,ZG_aldosterone_program,CN067,0.7364203534643933
GSE156931,all_24_samples_sensitivity,ZF_cortisol_program,CH018,-0.6268117449940198
GSE156931,all_24_samples_sensitivity,ZF_cortisol_program,CH040,-0.42547606370675917
GSE156931,all_24_samples_sensitivity,ZF_cortisol_program,CH042,0.01745096083751957
GSE156931,all_24_samples_sensitivity,ZF_cortisol_program,CH049,-0.09587361352613133
GSE156931,all_24_samples_sensitivity,ZF_cortisol_program,CN032,-0.4311322757786475
GSE156931,all_24_samples_sensitivity,ZF_cortisol_program,CN059,-0.20817986507513864
GSE156931,all_24_samples_sensitivity,ZF_cortisol_program,CN062,0.0038849072040413324
GSE156931,all_24_samples_sensitivity,ZF_cortisol_program,CN067,-1.2930645413606507
GSE156931,all_24_samples_sensitivity,ZR_androgen_program,CH018,-0.3044811934266497
GSE156931,all_24_samples_sensitivity,ZR_androgen_program,CH040,-0.6308257508298052
GSE156931,all_24_samples_sensitivity,ZR_androgen_program,CH042,-0.9445615678003734
GSE156931,all_24_samples_sensitivity,ZR_androgen_program,CH049,-0.5494799101183337
GSE156931,all_24_samples_sensitivity,ZR_androgen_program,CN032,-0.1998871532474243
GSE156931,all_24_samples_sensitivity,ZR_androgen_program,CN059,-0.5340826076887177
GSE156931,all_24_samples_sensitivity,ZR_androgen_program,CN062,-0.44343161430117767
GSE156931,all_24_samples_sensitivity,ZR_androgen_program,CN067,-1.4506842170977052
GSE156931,all_24_samples_sensitivity,intermediate_steroidogenic_program,CH018,-0.7267083540704917
GSE156931,all_24_samples_sensitivity,intermediate_steroidogenic_program,CH040,0.25018527990238026
GSE156931,all_24_samples_sensitivity,intermediate_steroidogenic_program,CH042,0.24667650705797378
GSE156931,all_24_samples_sensitivity,intermediate_steroidogenic_program,CH049,0.04061387550280304
GSE156931,all_24_samples_sensitivity,intermediate_steroidogenic_program,CN032,-0.10662013694285678
GSE156931,all_24_samples_sensitivity,intermediate_steroidogenic_program,CN059,0.18433751054345193
GSE156931,all_24_samples_sensitivity,intermediate_steroidogenic_program,CN062,0.3867167443934042
GSE156931,all_24_samples_sensitivity,intermediate_steroidogenic_program,CN067,0.7085636062614673
GSE156931,all_24_samples_sensitivity,generic_steroidogenesis_program,CH018,-0.7028803312633041
GSE156931,all_24_samples_sensitivity,generic_steroidogenesis_program,CH040,0.03219147546876677
GSE156931,all_24_samples_sensitivity,generic_steroidogenesis_program,CH042,0.014290133597091914
GSE156931,all_24_samples_sensitivity,generic_steroidogenesis_program,CH049,-0.034420755406031844
GSE156931,all_24_samples_sensitivity,generic_steroidogenesis_program,CN032,-0.2468746064396612
GSE156931,all_24_samples_sensitivity,generic_steroidogenesis_program,CN059,0.04483109896946069
GSE156931,all_24_samples_sensitivity,generic_steroidogenesis_program,CN062,0.332560123607971
GSE156931,all_24_samples_sensitivity,generic_steroidogenesis_program,CN067,0.6880822385942185
GSE156931,all_24_samples_sensitivity,ZG_intermediate_vs_ZF_ZR_axis_score,CH018,-0.6926755679842677
GSE156931,all_24_samples_sensitivity,ZG_intermediate_vs_ZF_ZR_axis_score,CH040,1.0945846181373418
